dose_group	n	median_delta_rd	mean_delta_rd	median_clip_points	overall_spearman_rho	overall_spearman_p
Q1	1432	-0.3317615185374912	-0.3282081135938479	134.0	0.06618216861666473	5.411537211403647e-07
Q2	1433	-0.2767637538693048	-0.28080282778337573	393.0	0.06618216861666473	5.411537211403647e-07
Q3	1429	-0.2849203631417659	-0.2812788102521236	912.0	0.06618216861666473	5.411537211403647e-07
Q4	1429	-0.2326873941076063	-0.2149122115131877	2585.0	0.06618216861666473	5.411537211403647e-07
